ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,MGMT_NUM,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,MANUFACTURER,COUNT_BABY_SWING,COUNT_SR_SWING,COUNT_HANDICAP_SWING,COUNT_TIRE_SWING,COUNT_SAUCER_SWING,COUNT_PONY_SWING,INCLUSIVE,EQUIPMENT_AGE_CLASS,POINT
,BED599,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,150599,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.1034784 51.1307872)
,RUN264,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,,0,0,0,0,0,0,,JUNIOR,POINT (-113.972668 51.0682548)
,GBK600,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,440600,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,NO,COMBINED,POINT (-114.1597115 51.0202792)
,OAK071,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,310071,1,SWING,NO BREAKDOWN,BELAIR,0,2,0,0,0,0,,SENIOR,POINT (-114.1369726 50.9676645)
,MAF361,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,420361,1,SWING,NO BREAKDOWN,TECHNO DYNAMO,0,0,0,0,1,0,,SENIOR,POINT (-114.0881978 50.9956036)
,GRE012,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,,,,,NO,,POINT (-114.2132461 51.0876985)
,PAN077,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,2,1,,,,YES,COMBINED,POINT (-114.0857603 51.1662564)
ACR 3,SSD473,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,450473,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,,COMBINED,POINT (-114.0760427 51.0602483)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,HAW014,,CALGARY PARKS,CALGARY PARKS,FITNESS VAULT BAR WOODMETAL,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1794072 51.1267789)
LEASE BOUNDARY CHANGE,GBK608,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440608,1,SWING,NO BREAKDOWN,LITTLE TIKES,1,1,0,0,0,0,NO,SENIOR,POINT (-114.1514313 51.0230455)
,MRL518,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,360518,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,YES,COMBINED,POINT (-113.9638954 51.0608707)
,ING028,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0201409 51.0323476)
,SOM655,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330655,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0817698 50.9014041)
,ERI837,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,350837,7,TEETER TOTTER SEESAW,STANDING TEETER,,,,,,,,,SENIOR,POINT (-113.972733 51.0195545)
,DDG569,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,JUNIOR,POINT (-113.9985683 50.9405443)
XX ACR 2,ASP514,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,1,SWING,NO BREAKDOWN,GAMETIME,2,0,0,0,0,0,NO,JUNIOR,POINT (-114.2182962 51.0415344)
INVESTIGATE PARENT RETIRED DUE TO FLOOD DAMAGE - WAS PARENT REPLACED FL ACR 2,ING037,,CALGARY PARKS,CALGARY PARKS,SENIOR; ACR 2,ACTIVE,420037,4,STATIONARY TOY,VEHICLE,,,,,,,,,SENIOR,POINT (-114.0162264 51.0404707)
,BRD899,,CALGARY PARKS,CALGARY PARKS SHARED,"6 METER DISTANCE, 1.8 METER ELEVATION ROPE PULL",ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,"LANDSCAPE STRUCTURES, HABISTAT SYSTEMS",,,,,,,,,POINT (-114.0485011 51.0506957)
,CGR210,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,430210,1,SWING,NO BREAKDOWN,LANDSCAPE STRUCTURES,1,1,0,0,0,0,NO,SENIOR,POINT (-114.2122016 51.0688709)
,ROC671,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,110671,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,NO,COMBINED,POINT (-114.2385814 51.1400924)
,WOO613,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,310613,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-114.1166886 50.9442707)
,GAW642,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440642,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1154157 51.010918)
,CRE871,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,5,SPINNING TOY,FLAT DISC OR MERRY GO ROUND,,,,,,,,,SENIOR,POINT (-114.0695472 51.0623483)
,LKV502,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,SENIOR,POINT (-114.1325515 50.9918822)
,SIL266,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120266,7,TEETER TOTTER SEESAW,TO BE IDENTIFIED,,,,,,,,,COMBINED,POINT (-114.1930609 51.1152169)
,PAN096,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-114.0749273 51.1705159)
,AUB207,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9677192 50.8905531)
,MAL505,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,SENIOR,POINT (-114.0195942 51.0639623)
,HUN620,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,150620,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-114.0632836 51.1143983)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,SET013,,CALGARY PARKS,CALGARY PARKS,GLOBE GRASP,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9490419 50.8664132)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,NGM528,,CALGARY PARKS,CALGARY PARKS,CORE STATION; 2017/04/27: COMMUNITY ASSOCIATION INITATIVE,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1128401 50.9982032)
,REN783,425 EDWARD ST NE,CALGARY PARKS,CALGARY PARKS,DOUBLE BAY SWING,ACTIVE,,1,SWING,,HENDERSON,,,,,,,,,POINT (-114.0303105 51.0562975)
,SAD332,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,0,0,0,0,0,0,,SENIOR,POINT (-113.9466264 51.1243934)
,BOW009,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,PLAYWORKS,,4,,,,,NO,SENIOR,POINT (-114.1887886 51.0845276)
XX ACR 2,HUN629,,CALGARY PARKS,CALGARY PARKS,SENIOR; CIRCULAR,ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-114.0569774 51.1223602)
,COV934,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,PLAYSTEEL FIT,1,1,,,,,NO,,POINT (-114.0422697 51.158356)
,LEG045,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0003192 50.8549041)
VIP,MAC742,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,170742,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,,JUNIOR,POINT (-114.1113454 51.1415004)
,ERI834,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,350834,15,SPRING TOY,ANIMAL,,,,,,,,,COMBINED,POINT (-113.9733441 51.0217398)
,WHL500,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,11,TALK TUBE,NO BREAKDOWN,HENDERSON,,,,,,,YES,,POINT (-114.1257396 51.0566973)
,BRA100,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,,POINT (-114.0979708 50.9601465)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,WES099,,CALGARY PARKS,CALGARY PARKS,LONG BENCH,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9742645 51.105121)
,TAR130,,CALGARY PARKS,CALGARY PARKS,"SENIOR; NO PICTURES, FIELD VERIFY",ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,SENIOR,POINT (-113.928856 51.1135852)
,WSP035,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,12,DIGGING TOY,NO BREAKDOWN,GAMETIME,,,,,,,NO,JUNIOR,POINT (-114.2161139 51.0626579)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,COR355,,CALGARY PARKS,CALGARY PARKS,JUMP TOUCH,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9294771 51.1043499)
,SET017,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,NOT INDICATED ON PLANS,,,,,,,NO,,POINT (-113.956067 50.8674189)
METAL,WGT762,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,430762,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,NO,JUNIOR,POINT (-114.158034 51.0444496)
SERPENTINE,SHN387,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330387,3,CLIMBER,RIBBON SPIRAL CLIMBER,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0731986 50.9092896)
,WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,GAMETIME,,,,,,,YES,,POINT (-114.1566739 51.0622337)
,SIL262,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120262,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,COMBINED,POINT (-114.1951576 51.1078637)
,GLR001,165 AQUILA DR NW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,,POINT (-114.1656995 51.1857227)
,SAD337,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,140337,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-113.940078 51.1276134)
,CAS076,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140076,15,SPRING TOY,ANIMAL,,,,,,,,,SENIOR,POINT (-113.9666732 51.1075907)
,RAN035,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,110035,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,NO,COMBINED,POINT (-114.1801339 51.1137065)
,GBK590,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440600,3,CLIMBER,BILLY GOAT BRIDGE,BLUE IMP,,,,,,,,SENIOR,POINT (-114.1547174 51.0206253)
,BRA099,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,310099,1,SWING,NO BREAKDOWN,BLUE IMP,2,0,0,0,0,0,,JUNIOR,POINT (-114.1008747 50.9548242)
,NOL005,,CALGARY PARKS,CALGARY PARKS,CUP,ACTIVE,,15,SPRING TOY,TO BE IDENTIFIED,,,,,,,,,,POINT (-114.170868 51.1768625)
ANIMAL - FROG,BOW180,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,120180,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.200108 51.0876446)
,TEM062,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,140062,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,,JUNIOR,POINT (-113.9502814 51.0900464)
MONKEY BARS,MCT802,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,340802,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-113.9730295 50.9145748)
,PAN041,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,150041,1,SWING,NO BREAKDOWN,HABITAT SYSTEMS,2,2,0,0,0,0,,COMBINED,POINT (-114.0739224 51.1633772)
,STA539,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,,,,,,,,SENIOR,POINT (-114.1245176 51.0625929)
,CRA079,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,RUBBER MOUND,,,,,,,,,,POINT (-113.9833955 50.8666472)
,UMR308,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,TOWER ROCKET SPUTNIK,,,,,,,,,SENIOR,POINT (-114.0863933 51.0316794)
ACR 2,EPK300,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,420300,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0778424 51.0272415)
DINOSAUR,SHW821,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110821,3,CLIMBER,ANIMAL CLIMBER,,,,,,,,,JUNIOR,POINT (-114.1512213 51.1605722)
,APP909,,CALGARY PARKS,CALGARY PARKS,SAUCER SWING,ACTIVE,360909,1,SWING,NO BREAKDOWN,GAMETIME MANUFACTURER,0,0,0,0,1,0,,COMBINED,POINT (-113.925864 51.0506894)
,SAD021,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,NO,,POINT (-113.926129 51.1273781)
,SPH015,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,PLAYCRAFT,,,,,,,NO,JUNIOR,POINT (-114.1975819 51.0188053)
METAL SPIRAL,CAN346,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,310346,2,SLIDE,SPIRAL SLIDE,,,,,,,,,SENIOR,POINT (-114.0740516 50.9376953)
,OGD800,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,,HENDERSON,,,,,1,,,,POINT (-114.0183667 50.9840022)
VIP,BED598,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,150598,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.1028824 51.1280668)
XX ASSET IS A STATIONARY MUSHROOM TOY.,CRA002,,CALGARY PARKS,CALGARY PARKS,CUSTOM MUSHROOM SEAT,ACTIVE,,4,STATIONARY TOY,TO BE IDENTIFIED,HABITAT,,,,,,,,,POINT (-113.9863034 50.8745686)
,COV106,,CALGARY PARKS,CALGARY PARKS,JUNIOR; PLAY PANEL PUZZLE BOX,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,,0,0,0,0,0,0,,JUNIOR,POINT (-114.0596895 51.1659769)
XX ACR 2,FAI202,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,BLUE IMP,,,,,,,,COMBINED,POINT (-114.0628677 50.9822301)
,WLD771,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,430771,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BELAIR,,,,,,,NO,COMBINED,POINT (-114.1487663 51.0515352)
DINOSAUR,CAM883,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,130883,4,STATIONARY TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0864485 51.0850847)
,SIG721,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,440721,15,SPRING TOY,VEHICLE,LITTLE TIKES,,,,,,,NO,JUNIOR,POINT (-114.1717925 51.0261998)
,HOU542,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,450542,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,,COMBINED,POINT (-114.0988392 51.0640072)
,PAN030,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150030,9,MULTI PLAY COMPLEX,NO BREAKDOWN,PLAY SENSE,,,,,,,,SENIOR,POINT (-114.0806238 51.1581961)
HYBRID ETNA TRAPP,DRG542,68 DEER RIDGE WY SE,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,JAMBETTE,2,2,,,1,,NO,,POINT (-114.0236759 50.927565)
,CPF003,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,0,0,0,0,0,0,,SENIOR,POINT (-113.9314684 50.9243422)
,ACA199,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,320199,12,DIGGING TOY,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.0514979 50.9785793)
NO DAS AT TIME OF CAPTURE,RIV704,,CALGARY PARKS,CALGARY PARKS,DECO SPRING RIDER,ACTIVE,,15,SPRING TOY,VEHICLE,GAME TIME,,,,,,,,,POINT (-114.0198667 50.9675375)
FIRE TRUCK,MAC757,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,170757,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,SENIOR,POINT (-114.115066 51.1376348)
,WOO353,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,HENDERSON,,,,,,,,,POINT (-114.1137222 50.9458837)
,SIL268,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,0,0,0,0,0,0,,,POINT (-114.1926873 51.1056562)
,CSC003,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,6,CLIMBING WALL STRUCTURE,NO BREAKDOWN,LANDSCAPE STRUCTURES,,,,,,,,,POINT (-113.9596366 51.1520482)
,RSN014,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,,POINT (-113.9580869 51.1709891)
,RIV884,,CALGARY PARKS,CALGARY PARKS,REFURBISHED,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,NO,,POINT (-114.0099183 50.9662099)
,MON216,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,450216,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,NO,COMBINED,POINT (-114.1565807 51.0678376)
,RIC708,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,1,SWING,NO BREAKDOWN,BLUE IMP,2,0,0,0,0,0,NO,JUNIOR,POINT (-114.1231014 51.0258062)
,BED681,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,7,TEETER TOTTER SEESAW,SPRING TEETER,,,,,,,,,JUNIOR,POINT (-114.0809639 51.1352206)
,GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,TO BE IDENTIFIED,GAME TIME,,,,,,,YES,COMBINED,POINT (-114.1379586 50.9918141)
,EVN275,,CALGARY PARKS,LEASE HOLDER,,INSTALLED,,4,STATIONARY TOY,TREE STUMP,,,,,,,,,,POINT (-114.1095865 51.1729118)
XX ACR 2,EVN274,,CALGARY PARKS,CALGARY PARKS,JUNIOR; LUNAR SCOOTER,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,,,,,,,,JUNIOR,POINT (-114.1153449 51.171516)
,MCK563,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,340563,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-113.9803461 50.9036072)
,MRT110,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,140110,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9673883 51.118789)
,MCT834,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,5,SPINNING TOY,SPINNING POLE,JAMBETTE,,,,,,,NO,,POINT (-113.966435 50.9226903)
,CHA823,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330823,9,MULTI PLAY COMPLEX,NO BREAKDOWN,KOMPAN,,,,,,,,SENIOR,POINT (-114.0225955 50.8847786)
,FLN751,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,360751,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-113.9675888 51.0324278)
,ABB571,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,NO,,POINT (-113.932073 51.0511627)
XX ACR 2,NEB011,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,VEHICLE,PLAYWORKS,,,,,,,,JUNIOR,POINT (-113.9407064 50.9244216)
,ALP002,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,,2,,,1,,NO,,POINT (-114.1439044 50.917197)
,DOV755,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,350755,7,TEETER TOTTER SEESAW,SPRING TEETER,,,,,,,,,COMBINED,POINT (-113.9692824 51.0290071)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,DOV769,,CALGARY PARKS,CALGARY PARKS,SPINNER,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9870584 51.0301763)
,MPL180,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,320180,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,SENIOR,POINT (-114.0368674 50.9543916)
,ABB560,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,360560,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,SENIOR,POINT (-113.9327361 51.0595178)
,WIL174,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,320174,1,SWING,NO BREAKDOWN,,0,0,0,1,0,0,,SENIOR,POINT (-114.0531856 50.9608634)
,TUS614,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,2,SLIDE,STRAIGHT SLIDE,,,,,,,,,SENIOR,POINT (-114.2456238 51.1276465)
,CIT425,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110425,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,,JUNIOR,POINT (-114.1936706 51.1466331)
,MCT834,,CALGARY PARKS,CALGARY PARKS,ACTIVATOR: MAESTRO-DEX; OAA EXPIRED 2023/02/21. NOW PARKS MAINTAINED,ACTIVE,,17,WATER PARK TOY,NO BREAKDOWN,,,,,,,,,,POINT (-113.9665103 50.9225378)
2020/12/21: ASSET PRESENT AT THE SAME TIME AS OTHERS; CHANGED DATES,SAN759,,CALGARY PARKS,CALGARY PARKS,SENIOR; ROPE,ACTIVE,150759,3,CLIMBER,DOME NET OR WEB CLIMBER,,,,,,,,,SENIOR,POINT (-114.0924844 51.1359168)
,EDG045,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,170045,1,SWING,NO BREAKDOWN,,1,1,,,,,,COMBINED,POINT (-114.1580663 51.1181069)
XX ACR 3,HPK821,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0656112 51.0908041)
,MOR389,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,160389,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,SENIOR,POINT (-113.9336352 51.0941645)
,ING013,,CALGARY PARKS,CALGARY PARKS,LOG,ACTIVE,,4,STATIONARY TOY,BALANCING,,,,,,,,NO,,POINT (-114.0284665 51.0393805)
,LKV526,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440526,1,SWING,NO BREAKDOWN,BEL AIR,0,0,0,1,0,0,,SENIOR,POINT (-114.1274417 50.998426)
,DAL070,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,170070,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1631807 51.1173628)
CLIMBING ROCK,MCT775,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,340775,6,CLIMBING WALL STRUCTURE,NO BREAKDOWN,HABITAT SYSTEMS,,,,,,,,SENIOR,POINT (-113.9727708 50.9266279)
,BLM004,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,NO,JUNIOR,POINT (-114.068357 50.8667835)
,WLD050,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,5,SPINNING TOY,SPINNING POLE,GAMETIME,,,,,,,NO,JUNIOR,POINT (-114.156851 51.0638242)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,DBC097,,CALGARY PARKS,CALGARY PARKS,ON GRASS HORIZONTAL LADDER,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.0430127 51.1127241)
,MOR386,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,,,,,,,,,POINT (-113.9306911 51.0906614)
,WIN798,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,130798,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.0454322 51.0690352)
INSTALL DT BASED ON RULES DEVELOPED 2016/05/17-SEE GIS MANUAL-INSTALL_DT ATTRIBUTES SECTION,HUN625,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,,SENIOR,POINT (-114.0571642 51.1146587)
